iter	Passed	Remaining
0	144	144305
1	148	74101
2	152	50774
3	156	39009
4	160	31978
5	165	27426
6	169	24063
7	173	21535
8	177	19558
9	181	17988
10	184	16567
11	186	15368
12	188	14307
13	190	13399
14	192	12610
15	193	11903
16	195	11275
17	196	10715
18	198	10234
19	199	9772
20	200	9353
21	201	8972
22	203	8624
23	204	8303
24	205	8006
25	206	7730
26	207	7472
27	208	7234
28	209	7010
29	210	6803
30	211	6605
31	212	6418
32	213	6242
33	213	6076
34	214	5920
35	215	5773
36	216	5639
37	217	5513
38	218	5388
39	219	5267
40	220	5153
41	221	5045
42	222	4942
43	222	4843
44	223	4748
45	224	4658
46	225	4571
47	226	4488
48	227	4409
49	228	4332
50	228	4259
51	229	4188
52	230	4120
53	231	4055
54	232	3992
55	233	3931
56	234	3876
57	235	3821
58	236	3767
59	237	3713
60	237	3661
61	238	3611
62	239	3563
63	240	3516
64	241	3471
65	242	3426
66	242	3383
67	243	3336
68	244	3296
69	245	3257
70	246	3218
71	246	3181
72	247	3145
73	248	3110
74	249	3077
75	250	3045
76	251	3014
77	252	2988
78	254	2962
79	255	2933
80	256	2905
81	256	2876
82	257	2849
83	258	2822
84	259	2792
85	260	2765
86	260	2737
87	261	2712
88	262	2689
89	263	2666
90	264	2644
91	265	2622
92	266	2600
93	267	2579
94	268	2558
95	269	2537
96	270	2522
97	271	2502
98	272	2482
99	273	2462
100	274	2442
101	274	2420
102	275	2401
103	276	2384
104	278	2372
105	279	2354
106	279	2336
107	280	2319
108	281	2302
109	282	2286
110	283	2269
111	284	2254
112	285	2238
113	285	2222
114	286	2207
115	287	2190
116	288	2176
117	289	2164
118	290	2149
119	291	2136
120	292	2124
121	293	2112
122	294	2096
123	295	2085
124	296	2073
125	297	2063
126	298	2052
127	299	2038
128	300	2027
129	301	2019
130	302	2009
131	306	2012
132	307	2004
133	308	1995
134	309	1984
135	310	1974
136	312	1966
137	313	1956
138	314	1947
139	315	1940
140	317	1933
141	318	1926
142	320	1918
143	321	1908
144	322	1901
145	323	1892
146	324	1883
147	325	1876
148	327	1868
149	328	1859
150	329	1850
151	330	1841
152	330	1832
153	331	1823
154	332	1814
155	333	1806
156	334	1798
157	335	1790
158	337	1783
159	338	1775
160	339	1768
161	340	1760
162	341	1752
163	342	1745
164	343	1739
165	345	1733
166	346	1727
167	347	1719
168	348	1712
169	349	1705
170	350	1698
171	351	1691
172	352	1684
173	353	1677
174	354	1670
175	355	1663
176	356	1656
177	357	1649
178	358	1643
179	359	1637
180	359	1628
181	361	1622
182	362	1617
183	363	1612
184	364	1606
185	365	1600
186	366	1594
187	367	1588
188	368	1582
189	369	1576
190	370	1570
191	371	1564
192	372	1558
193	373	1552
194	374	1547
195	376	1543
196	377	1538
197	378	1531
198	379	1525
199	379	1519
200	380	1513
201	381	1508
202	382	1503
203	383	1497
204	384	1491
205	385	1485
206	386	1479
207	387	1474
208	387	1468
209	388	1462
210	389	1457
211	390	1451
212	391	1446
213	392	1440
214	393	1434
215	393	1429
216	394	1424
217	395	1418
218	396	1413
219	397	1408
220	398	1403
221	398	1397
222	399	1393
223	400	1388
224	401	1383
225	402	1378
226	403	1373
227	404	1368
228	405	1363
229	405	1359
230	406	1354
231	407	1349
232	408	1344
233	409	1339
234	410	1335
235	411	1330
236	411	1325
237	412	1321
238	413	1316
239	414	1311
240	415	1307
241	415	1302
242	416	1298
243	417	1294
244	418	1290
245	419	1286
246	420	1282
247	421	1277
248	422	1273
249	423	1269
250	423	1265
251	424	1260
252	425	1256
253	426	1252
254	427	1248
255	428	1244
256	428	1239
257	429	1235
258	430	1233
259	433	1232
260	434	1229
261	435	1225
262	436	1222
263	437	1219
264	438	1215
265	439	1211
266	439	1207
267	440	1203
268	441	1200
269	442	1196
270	443	1192
271	444	1189
272	445	1185
273	446	1181
274	446	1178
275	447	1174
276	448	1170
277	449	1167
278	450	1163
279	451	1160
280	452	1156
281	452	1153
282	454	1150
283	455	1147
284	455	1143
285	456	1140
286	457	1136
287	458	1133
288	459	1129
289	460	1126
290	461	1123
291	461	1119
292	462	1116
293	463	1113
294	465	1111
295	466	1109
296	467	1106
297	468	1103
298	469	1100
299	470	1097
300	471	1094
301	472	1091
302	473	1088
303	474	1085
304	475	1082
305	476	1079
306	476	1076
307	477	1073
308	478	1070
309	479	1067
310	480	1063
311	481	1060
312	481	1057
313	482	1054
314	483	1051
315	484	1048
316	485	1045
317	486	1042
318	487	1039
319	488	1037
320	488	1034
321	489	1031
322	490	1029
323	491	1026
324	492	1023
325	493	1020
326	494	1017
327	495	1014
328	496	1011
329	496	1008
330	497	1006
331	498	1003
332	499	1000
333	500	998
334	501	995
335	502	992
336	503	989
337	504	987
338	504	984
339	505	981
340	506	979
341	507	976
342	508	973
343	509	972
344	510	969
345	511	966
346	512	964
347	513	961
348	514	959
349	514	956
350	515	953
351	516	951
352	517	948
353	518	945
354	519	943
355	520	940
356	520	938
357	521	935
358	522	933
359	523	930
360	524	928
361	525	925
362	526	923
363	527	921
364	528	919
365	529	917
366	530	915
367	531	912
368	532	910
369	533	907
370	533	905
371	534	902
372	535	900
373	536	897
374	537	895
375	538	892
376	538	890
377	539	888
378	540	885
379	541	883
380	542	880
381	543	878
382	543	876
383	544	874
384	545	872
385	546	869
386	547	867
387	548	865
388	549	862
389	550	860
390	551	858
391	551	855
392	552	853
393	553	851
394	554	849
395	556	848
396	557	846
397	558	844
398	559	842
399	560	840
400	561	838
401	562	836
402	563	834
403	564	832
404	565	830
405	566	828
406	567	826
407	567	823
408	568	821
409	569	819
410	570	817
411	571	815
412	572	813
413	572	810
414	573	808
415	574	806
416	575	804
417	576	802
418	577	800
419	578	798
420	578	796
421	579	794
422	580	791
423	581	790
424	582	788
425	583	786
426	584	784
427	585	782
428	586	780
429	586	777
430	587	775
431	588	773
432	589	771
433	590	769
434	591	767
435	591	765
436	592	763
437	593	761
438	594	759
439	595	757
440	596	755
441	597	753
442	598	751
443	598	749
444	599	748
445	601	746
446	602	744
447	603	742
448	603	741
449	604	739
450	605	737
451	606	735
452	607	733
453	608	731
454	609	729
455	609	727
456	610	725
457	611	723
458	612	721
459	613	719
460	614	717
461	614	716
462	615	714
463	616	712
464	617	710
465	618	708
466	619	707
467	620	705
468	621	703
469	621	701
470	622	699
471	623	697
472	624	695
473	625	694
474	626	692
475	627	690
476	627	688
477	628	686
478	629	684
479	630	683
480	631	681
481	632	679
482	633	677
483	633	675
484	634	674
485	635	672
486	636	670
487	637	668
488	638	667
489	639	665
490	640	663
491	640	661
492	641	660
493	642	658
494	643	656
495	644	654
496	645	653
497	646	651
498	647	649
499	647	647
500	648	646
501	649	644
502	650	642
503	651	641
504	652	639
505	653	637
506	653	635
507	655	634
508	656	632
509	656	631
510	657	629
511	658	627
